"#";"Метка";"Значение";"Имя";"Количество";"Тип секции"
"1";"C1, C11, C14, C17, C18, C21, C22, C23, C24, C25, C27, C28, C30, C32, C34, C45";"100nF";"CAP_1206";"16";"Part 1"
"2";"C2, C3";"";"293D685X9004B2TE3";"2";"Part 1"
"3";"C4";"51pF";"CAP_1206";"1";"Part 1"
"4";"C6";"220pF";"CAP_1206";"1";"Part 1"
"5";"C7, C8, C9, C10, C12";"10uF";"CAP100RP";"5";"Part 1"
"6";"C13";"4.7uF";"CAP100RP";"1";"Part 1"
"7";"C15, C33, C35";"330uF";"CAP200RP";"3";"Part 1"
"8";"C16";"1000uF";"CAP200RP";"1";"Part 1"
"9";"C19, C29";"100uF";"CAP100RP";"2";"Part 1"
"10";"C31";"330uF";"CAP100RP";"1";"Part 1"
"11";"C36, C37, C38, C39, C40, C41, C42, C43, C44";"Reserv";"CAP_1206";"9";"Part 1"
"12";"C46, C50";"68pF";"CAP_1206";"2";"Part 1"
"13";"C47";"330pF";"CAP_1206";"1";"Part 1"
"14";"C48";"30pF";"CAP_1206";"1";"Part 1"
"15";"C55, C57, C58";"18pF";"CAP_1206";"3";"Part 1"
"16";"C56";"56pF";"CAP_1206";"1";"Part 1"
"17";"CPU";"26 -   - 21";"HDR-1x3";"1";"Part 1"
"18";"CS1";"60 pin";"Famicom_60pin_slot";"1";"Part 1"
"19";"D1";"1N4148";"PMLL4148L,115";"1";"Part 1"
"20";"JP4, JP5";"";"Famicom ExtPort";"2";"Part 1"
"21";"JP6";"";"HDR-1x5";"1";"Part 1"
"22";"JP7";"";"HDR-1x6";"1";"Part 1"
"23";"L1";"100uH";"CD74R_INDUCTION";"1";"Part 1"
"24";"P5";"PWR_LED";"HDR-1x2";"1";"Part 1"
"25";"P7";"RED";"RCJ-011";"1";"Part 1"
"26";"P8";"White";"RCJ-011";"1";"Part 1"
"27";"P9";"Yellow";"RCJ-011";"1";"Part 1"
"28";"P11";"DC";"PJ-017C_DS";"1";"Part 1"
"29";"PPU";"PPU";"HDR-1x3";"1";"Part 1"
"30";"PSW1";"SS12F44G5";"PS_SS12F44G5";"1";"Part 1"
"31";"QZ1";"26.601712";"HC49S";"1";"Part 1"
"32";"QZ2";"21.477272";"HC49S";"1";"Part 1"
"33";"R1";"4R7";"RES_1206";"1";"Part 1"
"34";"R3, R10, R13, R43";"1.2K";"RES_1206";"4";"Part 1"
"35";"R4";"150K";"RES_1206";"1";"Part 1"
"36";"R5, R6, R27, R29";"100R";"RES_1206";"4";"Part 1"
"37";"R7";"2.2K";"RES_1206";"1";"Part 1"
"38";"R8, R11";"220R";"RES_1206";"2";"Part 1"
"39";"R9, R12, R14, R17, R46";"510R";"RES_1206";"5";"Part 1"
"40";"R15, R16";"1K";"RES_1206";"2";"Part 1"
"41";"R18, R19, R21, R22";"4.7K";"RES_1206";"4";"Part 1"
"42";"R20, R23, R44, R45, R49";"10K";"RES_1206";"5";"Part 1"
"43";"R26, R28";"1Mom";"RES_1206";"2";"Part 1"
"44";"R37, R38";"1R0";"RES_1206";"2";"Part 1"
"45";"R47";"9k1";"RES_1206";"1";"Part 1"
"46";"R50";"75R";"RES_1206";"1";"Part 1"
"47";"RA1, RA2";"";"RES8SIPB";"2";"Part 1"
"48";"RSW1";"SoftReset";"Famicom_Reset_Switch_v2";"1";"Part 1"
"49";"SSW1, SSW2";"";"Solder_Switch";"2";"Part 1"
"50";"U1";"RP2A03/UA6527P/UA6527";"FamicomCPU";"1";"Part 1"
"51";"U2";"RP2C02/UA6538/UA6528";"FamicomPPU";"1";"Part 1"
"52";"U3";"";"SN74HC139N";"1";"Part 1"
"53";"U4";"";"SN74LS373N";"1";"Part 1"
"54";"U5, U6";"dip-24/28 (300/600mil)";"SRam_universal";"2";"Part 1"
"55";"U7, U8";"SN74HC368N";"SN74HC368N";"2";"Part 1"
"56";"U9";"7805";"7805";"1";"Part 1"
"57";"U10";"";"MC4558IDT";"1";"Part 1"
"58";"U11";"";"THS7314";"1";"Part 1"
"59";"U12";"";"SN74HCU04D";"1";"Part 1"
"60";"VD1";"DF01S-T";"DF01S-T";"1";"Part 1"
