"#";"Имя";"Метка";"Значение";"Количество"
"1";"CAP_1206";"C1, C3, C6, C7, C10, C21, C51, C53, C54, C58, C59, C60, C61";"100nF";"13"
"2";"CAP200RP";"C2";"330uF";"1"
"3";"CAP100RP";"C8";"1uF";"1"
"4";"CAP_1206";"C9";"1nF";"1"
"5";"CAP100RP";"C11";"0,47uF";"1"
"6";"CAP_1206";"C12, C13";"30pF";"2"
"7";"CAP100RP";"C14, C16, C18, C19, C20, C22, C24";"10uF";"7"
"8";"CAP200RP";"C15, C57";"1000uF";"2"
"9";"CAP100RP";"C50";"330uF";"1"
"10";"CAP100RP";"C56";"100uF";"1"
"11";"Famicom_60pin_slot";"CS1";"60 pin";"1"
"12";"SMA";"D1";"";"1"
"13";"Famicom ExtPort";"JP4, JP5";"";"2"
"14";"HDR-1x5";"JP6";"";"1"
"15";"HDR-1x6";"JP7";"";"1"
"16";"CD74R";"L1";"100uH";"1"
"17";"HDR-1x2";"P5";"PWR_LED";"1"
"18";"RCJ-011";"P7";"RF/Audio Out";"1"
"19";"RCJ-011";"P8";"Audio Out";"1"
"20";"RCJ-011";"P9";"Video Out";"1"
"21";"PJ-017C_DS";"P11";"DC";"1"
"22";"Famicom_Power_Switch";"PSW1";"SS12F44G5";"1"
"23";"N-P-N TO-92";"Q1, Q3, Q4";"2SC945";"3"
"24";"P-N-P TO-92";"Q2";"2SA733";"1"
"25";"RES_1206";"R1, R15";"68K";"2"
"26";"RES_1206";"R2, R16";"82K";"2"
"27";"RES_1206";"R3, R8, R12, R13, R14, R17, R52";"10K";"7"
"28";"RES_1206";"R4";"560";"1"
"29";"RES_1206";"R5, R9, R18";"2K2";"3"
"30";"RES_1206";"R6";"100K";"1"
"31";"RES_1206";"R7";"12K";"1"
"32";"RES_1206";"R10, R11";"5K6";"2"
"33";"RES_1206";"R46";"510R";"1"
"34";"RES_1206";"R50";"9k1";"1"
"35";"RES_1206";"R51";"75R";"1"
"36";"RES_1206";"R53";"2.2K";"1"
"37";"RES_1206";"R54";"68R";"1"
"38";"RES_1206";"R55";"220R";"1"
"39";"RF_Module";"RF1";"";"1"
"40";"Famicom_Reset_Switch_v2";"RSW1";"SoftReset";"1"
"41";"UM6561";"U1";"UM6561";"1"
"42";"7805";"U2";"7805";"1"
"43";"THS7314";"U3";"";"1"
"44";"DF01S-T";"VD1";"DF01S-T";"1"
"45";"HC49S";"X1";"26.601712";"1"
